"GRD_FIXID","GRD_FLOAID","GRD_NEWID","SHAPE_Leng","SHAPE_Area","TOT_P","TOT_F","TOT_M"
"4.0.38080000.31100000","3808.3110.4","1kmN3110E3808",4000,1000000,155,55,100
"4.0.38080000.31110000","3808.3111.4","1kmN3111E3808",4000,1000000,45,21,24
"4.0.38080000.31120000","3808.3112.4","1kmN3112E3808",4000,1000000,20,8,12
"4.0.38080000.31130000","3808.3113.4","1kmN3113E3808",4000,1000000,43,19,24
"4.0.38080000.31140000","3808.3114.4","1kmN3114E3808",4000,1000000,36,20,16
"4.0.38080000.31150000","3808.3115.4","1kmN3115E3808",4000,1000000,32,16,16
"4.0.38080000.31160000","3808.3116.4","1kmN3116E3808",4000,1000000,21,12,9
"4.0.38080000.31170000","3808.3117.4","1kmN3117E3808",4000,1000000,32,14,18
"4.0.38080000.31180000","3808.3118.4","1kmN3118E3808",4000,1000000,16,8,8
"4.0.38080000.31190000","3808.3119.4","1kmN3119E3808",4000,1000000,12,5,7
"4.0.38080000.31200000","3808.3120.4","1kmN3120E3808",4000,1000000,24,13,11
"4.0.38080000.31210000","3808.3121.4","1kmN3121E3808",4000,1000000,55,26,29
"4.0.38080000.31220000","3808.3122.4","1kmN3122E3808",4000,1000000,193,91,102
"4.0.38080000.31230000","3808.3123.4","1kmN3123E3808",4000,1000000,40,19,21
"4.0.38080000.31240000","3808.3124.4","1kmN3124E3808",4000,1000000,31,18,13
"4.0.38080000.31250000","3808.3125.4","1kmN3125E3808",4000,1000000,31,13,18
"4.0.38080000.31260000","3808.3126.4","1kmN3126E3808",4000,1000000,41,16,25
"4.0.38080000.31270000","3808.3127.4","1kmN3127E3808",4000,1000000,18,8,10
"4.0.38080000.31280000","3808.3128.4","1kmN3128E3808",4000,1000000,42,22,20
"4.0.38080000.31290000","3808.3129.4","1kmN3129E3808",4000,1000000,40,20,20
"4.0.38080000.31300000","3808.3130.4","1kmN3130E3808",4000,1000000,52,22,30
"4.0.38080000.31310000","3808.3131.4","1kmN3131E3808",4000,1000000,198,119,79
"4.0.38080000.31320000","3808.3132.4","1kmN3132E3808",4000,1000000,1776,900,876
"4.0.38080000.31330000","3808.3133.4","1kmN3133E3808",4000,1000000,1115,577,538
"4.0.38080000.31340000","3808.3134.4","1kmN3134E3808",4000,1000000,10,5,5
"4.0.38080000.31350000","3808.3135.4","1kmN3135E3808",4000,1000000,14,7,7
"4.0.38080000.31360000","3808.3136.4","1kmN3136E3808",4000,1000000,357,179,178
